Date,Feedback
2026-03-03,I really liked this episode with it's emphasis on pausing and enjoying the moment. It's good to be reminded of the importance of this
2026-03-02,Excellent!
2026-03-01,"I will have my first snack of the day without planning work, check emails or any other activity. I will find this hard but I will give it a go."
2026-03-01,I love this. I actually already do this and it actually makes a difference to my day helping me to be present and even less reactive (sometimes. I have been looking forward to this recording and it didn’t disappoint. I do hope the wonderful weekly dose continues 🙏
2026-03-01,Excellent podcast
